Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Rhode Island,2021,13,2021-04-03,190,180,,47,,,,,,,11,37,,14,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2021,14,2021-04-10,211,191,,45,,,0,,,,11,54,,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Rhode Island,2021,15,2021-04-17,179,167,,37,,,0,,,,,35,12,13,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2021,16,2021-04-24,177,165,0,36,,,,,0,,16,41,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2021,17,2021-05-01,157,153,,37,,,0,,,,,30,,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Rhode Island,2021,18,2021-05-08,68,68,0,19,,,0,,0,,,12,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2021,19,2021-05-15,10,10,0,,,,0,0,0,,,,0,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
South Carolina,2020,1,2020-01-04,1086,996,14,192,35,53,30,85,19,29,,221,52,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,2,2020-01-11,1081,986,24,210,41,55,21,70,33,27,10,212,47,0,0,,,,,,,,,,,,,,,
South Carolina,2020,3,2020-01-18,1048,950,14,221,40,39,19,71,18,27,,205,49,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,4,2020-01-25,1033,929,18,194,38,51,19,66,25,23,,213,58,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,5,2020-02-01,1032,942,20,206,40,40,23,61,14,11,,238,47,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,6,2020-02-08,1096,995,20,199,42,45,29,69,25,17,,243,44,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,7,2020-02-15,1003,907,23,196,27,50,27,58,16,15,18,210,40,0,0,,,,,,,,,,,,,,,
South Carolina,2020,8,2020-02-22,1035,946,17,199,32,57,13,74,20,20,12,219,52,0,0,,,,,,,,,,,,,,,
South Carolina,2020,9,2020-02-29,1044,955,22,198,38,44,20,75,15,22,11,222,43,0,0,,,,,,,,,,,,,,,
South Carolina,2020,10,2020-03-07,1133,1017,11,217,36,61,25,61,27,19,14,239,69,0,0,,,,,,,,,,,,,,,
South Carolina,2020,11,2020-03-14,1103,1013,15,214,35,60,16,59,26,23,,223,61,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,12,2020-03-21,1067,968,15,212,31,60,18,56,16,13,,236,58,,,,,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Carolina,2020,13,2020-03-28,1039,945,13,216,31,47,21,59,27,30,10,205,49,19,17,,,,,,,,,,,,,,,
South Carolina,2020,14,2020-04-04,1048,952,14,187,44,56,15,60,21,18,15,212,37,36,35,,,,,,,,,,,,,,,
South Carolina,2020,15,2020-04-11,1138,1029,12,200,45,53,14,52,20,17,11,227,57,57,51,,,,,,,,,,,,,,,
South Carolina,2020,16,2020-04-18,1049,938,15,175,36,57,15,59,22,17,13,215,56,47,43,,,,,,,,,,,,,,,
South Carolina,2020,17,2020-04-25,1023,924,14,195,23,45,11,61,10,15,13,205,54,62,62,,,,,,,,,,,,,,,
South Carolina,2020,18,2020-05-02,1033,927,17,197,33,49,17,53,17,17,17,190,58,63,61,,,,,,,,,,,,,,,
South Carolina,2020,19,2020-05-09,1060,952,22,206,42,33,15,45,21,20,,210,48,72,69,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,20,2020-05-16,1110,994,15,199,35,46,10,69,12,12,11,203,57,68,66,,,,,,,,,,,,,,,
South Carolina,2020,21,2020-05-23,1046,917,17,210,43,35,,53,14,14,,201,61,59,56,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,22,2020-05-30,1048,925,17,181,35,34,,55,15,13,12,189,50,65,60,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2020,23,2020-06-06,1037,925,16,196,23,50,14,59,14,19,,205,47,64,58,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,24,2020-06-13,1079,947,14,209,33,50,12,55,20,19,,188,43,50,43,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,25,2020-06-20,1052,927,,185,49,47,,56,13,18,,189,63,57,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,26,2020-06-27,1099,983,11,188,38,41,11,49,21,20,,219,65,85,77,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,27,2020-07-04,1197,1067,13,203,27,60,,63,11,18,,259,53,129,114,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,28,2020-07-11,1218,1094,23,212,29,61,11,44,15,17,,212,60,146,135,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,29,2020-07-18,1335,1211,21,199,49,57,14,57,16,22,13,221,61,230,204,,,,,,,,,,,,,,,
South Carolina,2020,30,2020-07-25,1352,1257,13,213,38,59,15,48,11,17,12,227,44,321,303,,,,,,,,,,,,,,,
South Carolina,2020,31,2020-08-01,1329,1205,22,178,38,58,,60,23,22,,213,57,288,271,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,32,2020-08-08,1368,1255,20,213,41,54,12,66,12,17,14,225,55,269,246,,,,,,,,,,,,,,,
South Carolina,2020,33,2020-08-15,1319,1218,23,222,37,64,15,53,12,15,,233,59,241,212,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,34,2020-08-22,1181,1075,16,200,27,52,,54,16,23,,192,51,207,186,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,35,2020-08-29,1240,1127,16,215,31,51,,41,14,26,,211,56,201,180,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,36,2020-09-05,1242,1113,16,214,44,50,10,51,18,19,,218,54,182,153,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,37,2020-09-12,1186,1049,12,215,31,57,,53,14,12,,217,61,143,123,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,38,2020-09-19,1142,1034,15,215,36,34,17,62,18,18,,194,42,135,121,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,39,2020-09-26,1152,1037,20,202,35,40,16,58,19,18,11,198,50,122,108,,,,,,,,,,,,,,,
South Carolina,2020,40,2020-10-03,1142,1032,23,203,30,46,11,53,20,21,,215,45,104,97,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,41,2020-10-10,1133,1035,15,210,38,38,,59,12,16,,241,53,91,82,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,42,2020-10-17,1062,961,14,179,33,45,,51,17,17,10,194,41,118,109,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2020,43,2020-10-24,1146,1042,14,207,23,43,,57,16,20,11,221,58,127,118,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2020,44,2020-10-31,1223,1110,17,205,42,49,15,62,11,19,,226,62,124,112,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,45,2020-11-07,1185,1056,26,202,41,46,,48,20,19,,224,38,114,104,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2020,46,2020-11-14,1136,1032,19,216,45,40,11,51,16,13,10,190,55,117,104,,,,,,,,,,,,,,,
South Carolina,2020,47,2020-11-21,1187,1057,20,184,34,43,12,50,19,18,15,212,69,129,110,,,,,,,,,,,,,,,
South Carolina,2020,48,2020-11-28,1206,1099,14,201,38,58,14,56,19,18,14,221,56,135,127,,,,,,,,,,,,,,,
South Carolina,2020,49,2020-12-05,1287,1175,24,196,42,50,14,46,24,20,,225,64,188,176,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2020,50,2020-12-12,1277,1175,19,224,43,51,12,52,19,17,10,235,54,191,167,,,,,,,,,,,,,,,
South Carolina,2020,51,2020-12-19,1361,1244,16,198,48,43,12,56,23,25,15,239,48,258,225,,,,,,,,,,,,,,,
South Carolina,2020,52,2020-12-26,1408,1307,20,207,40,41,11,61,17,21,12,239,57,309,288,,,,,,,,,,,,,,,
South Carolina,2020,53,2021-01-02,1483,1392,19,181,60,57,10,65,21,23,23,243,69,361,331,,,,,,,,,,,,,,,
South Carolina,2021,1,2021-01-09,1284,1210,15,177,29,37,15,51,15,13,45,213,54,347,324,,,,,,,,,,,,,,,
South Carolina,2021,2,2021-01-16,928,883,,112,27,27,16,46,17,17,28,127,38,284,263,,,Suppressed (counts 1-9),,,,,,,,,,,,
South Carolina,2021,3,2021-01-23,869,819,11,114,20,28,,33,10,11,33,142,33,244,226,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,4,2021-01-30,1552,1476,16,206,32,45,14,65,27,28,46,260,78,448,405,,,,,,,,,,,,,,,
South Carolina,2021,5,2021-02-06,1495,1409,17,204,22,55,12,66,19,41,52,240,62,388,349,,,,,,,,,,,,,,,
South Carolina,2021,6,2021-02-13,1366,1296,19,180,24,43,,62,15,26,49,242,82,303,281,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,7,2021-02-20,1245,1169,12,196,23,54,,56,24,24,58,235,58,222,198,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,8,2021-02-27,1234,1161,11,212,25,53,13,52,14,28,44,242,53,188,170,,,,,,,,,,,,,,,
South Carolina,2021,9,2021-03-06,1192,1115,15,204,29,48,20,54,15,30,43,219,59,152,126,,,,,,,,,,,,,,,
South Carolina,2021,10,2021-03-13,1163,1085,18,197,21,45,,59,17,22,59,209,62,121,107,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,11,2021-03-20,1046,977,20,185,14,35,12,47,12,26,54,203,57,92,73,,,,,,,,,,,,,,,
South Carolina,2021,12,2021-03-27,1094,1034,12,200,22,50,11,51,18,18,66,217,58,85,74,,,,,,,,,,,,,,,
South Carolina,2021,13,2021-04-03,979,909,13,156,19,35,,57,15,18,68,194,50,69,61,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,14,2021-04-10,1070,993,11,210,17,49,,46,13,29,90,178,51,67,57,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,15,2021-04-17,915,869,12,169,25,34,,31,17,21,68,173,50,61,52,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,16,2021-04-24,995,932,11,174,20,36,,49,11,14,104,186,52,73,63,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,17,2021-05-01,894,843,11,188,13,27,,52,10,19,63,158,38,50,46,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2021,18,2021-05-08,438,413,,59,,12,,23,,,47,100,23,23,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Carolina,2021,19,2021-05-15,462,443,,68,,24,,31,11,11,40,86,26,31,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,
South Dakota,2020,1,2020-01-04,170,145,,38,,,,,,,0,39,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,2,2020-01-11,170,157,0,38,,,,13,,,0,33,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,3,2020-01-18,168,155,0,30,,12,,,0,0,0,44,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2020,4,2020-01-25,151,142,,32,,15,,,,,0,29,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,5,2020-02-01,162,152,,39,,11,,,,,,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,6,2020-02-08,150,143,,41,,,,10,,,0,25,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,7,2020-02-15,178,165,,38,,12,,13,,,0,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,8,2020-02-22,177,158,,35,12,15,,12,,,,36,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,9,2020-02-29,163,149,,32,,,,12,,,,33,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,10,2020-03-07,194,182,,50,,13,,17,,0,,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,11,2020-03-14,166,155,,35,10,11,,10,,,0,42,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,12,2020-03-21,162,152,,28,,,,14,,,0,26,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,13,2020-03-28,149,140,,36,,,,10,,0,,27,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,14,2020-04-04,170,154,,39,,,0,10,0,0,,35,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,15,2020-04-11,150,138,,26,,11,,,,,0,42,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,16,2020-04-18,154,142,,31,,,,,,,,26,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,17,2020-04-25,176,160,,36,,14,,,,0,0,36,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,18,2020-05-02,159,143,,32,,,,,,0,0,26,,16,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,19,2020-05-09,181,159,,33,,,,18,,0,0,33,11,15,15,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
South Dakota,2020,20,2020-05-16,147,133,,26,,,,,0,,0,39,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,21,2020-05-23,162,150,,28,,10,,,,,0,39,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,22,2020-05-30,157,147,,39,,,0,10,,,0,30,,10,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,23,2020-06-06,147,127,0,27,,,,,0,0,,28,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,24,2020-06-13,159,142,,23,,,,,,,,35,,11,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,25,2020-06-20,176,155,,39,,,,10,,,,32,,12,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,26,2020-06-27,163,138,,39,,15,0,,,,0,28,,10,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,27,2020-07-04,160,139,,28,,,,,,,,38,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,28,2020-07-11,172,158,0,39,,11,,10,0,0,,23,,14,14,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,29,2020-07-18,158,149,,38,,10,,,0,0,,30,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,30,2020-07-25,173,155,,31,10,10,,,,,,30,,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,31,2020-08-01,151,135,0,42,,,,,,,0,34,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,32,2020-08-08,187,165,,47,10,11,0,,,,,27,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2020,33,2020-08-15,162,133,,29,,,,,,0,,37,,11,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,34,2020-08-22,169,148,,30,,13,,,0,,,33,10,10,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,35,2020-08-29,189,165,,36,,,,10,,,,40,,13,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,36,2020-09-05,209,183,,48,10,,,11,0,0,0,39,,18,18,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,
South Dakota,2020,37,2020-09-12,182,166,,30,,11,0,,,,0,41,,20,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,38,2020-09-19,181,162,,33,,11,,,,,,39,,26,21,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,39,2020-09-26,191,177,,32,,,,,,0,0,44,,35,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,40,2020-10-03,206,193,,33,,,0,,,,,40,11,41,37,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,41,2020-10-10,215,198,,30,12,12,,,,,0,44,,44,37,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,42,2020-10-17,201,185,0,30,,10,,,,,,37,,54,51,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2020,43,2020-10-24,243,221,,41,,13,,,,,0,38,,60,57,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,44,2020-10-31,243,232,,31,,,,,,0,,41,13,87,79,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
South Dakota,2020,45,2020-11-07,356,325,,32,,12,,,,,,48,16,149,142,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,46,2020-11-14,343,327,,37,,,,,,,0,38,12,168,156,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2020,47,2020-11-21,335,318,,38,,15,,,,0,0,30,,173,165,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,48,2020-11-28,335,320,,33,10,14,,,,,,34,10,163,155,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2020,49,2020-12-05,305,286,,29,,16,,12,,,0,31,,147,135,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2020,50,2020-12-12,283,266,,24,,10,,10,,0,0,36,,137,126,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2020,51,2020-12-19,236,223,,28,,,,,,,0,29,,95,89,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
